"","respondent_id","h1n1_knowledge","behavioral_antiviral_meds","behavioral_avoidance","behavioral_face_mask","behavioral_large_gatherings","behavioral_outside_home","doctor_recc_seasonal","child_under_6_months","health_worker","opinion_seas_vacc_effective","opinion_seas_risk","employment_industry_atmlpfrs","employment_industry_cfqqtusy","employment_industry_dotnnunm","employment_industry_haxffmxo","employment_industry_mfikgejo","employment_occupation_xgwztkwe"
"116",115,0,0,1,0,1,1,0,0,0,0.75,0.75,0,0,0,0,0,0
"117",116,0.5,0,0,0,0,0,0,0,0,1,0.25,0,0,0,0,0,0
"118",117,0.5,0,1,0,1,1,0,0,0,1,0.25,0,0,0,0,0,0
"119",118,1,0,1,0,0,1,0,0,1,0.75,0.25,0,0,0,0,0,0
"120",119,1,1,1,0,0,0.0210047717474778,0,0,0,0.75,0.75,0,0,0,0,0,0
"121",120,0.5,0,0,0,0,0,0,0,0,0.75,0.25,0,0,0,0,0,0
"122",121,0.5,0,0,0,0,0,0,0,0,0.75,0.25,0,0,0,0,0,0
"123",122,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0
"124",123,1,0,1,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0
"125",124,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"126",125,0.5,0,1,0,0,0,1,0,0,0.75,0.5,0,0,0,0,0,0
"127",126,0.5,0,1,0,0,0,0,0,0,0.75,0.75,0,0,0,0,0,0
"128",127,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0
"129",128,0.5,0,1,0,1,0,1,0,0,1,0.75,0,0,0,0,0,0
"130",129,0.5,0,1,0,0,0,0,0,0,0.75,0.75,0,0,0,0,0,1
"131",130,0.5,0,1,0,0,0,0,0,0,0.75,0.75,0,0,0,0,0,0
"132",131,0.5,0,1,0,0,1,1,0,0,0.75,0.75,0,0,0,0,0,0
"133",132,0.5,0,1,1,1,1,0,0,0,1,0.25,0,0,0,0,0,0
"134",133,0.5,0,1,0,0,0,0,0,0,1,0.75,0,0,0,0,0,0
"135",134,1,0,0,1,0,1,0,0,0,1,0.25,0,0,0,0,0,0
"136",135,0.5,0,1,0,1,0,0,0,0,1,0.75,0,0,0,0,0,0
"137",136,0.13134253085189,0.0493556611391094,1,0,1,1,1,1,0,1,0.75,1,0,0,0,0,0
"138",137,0.5,0,0,0,0,0,0,0,0,1,0.25,0,0,0,0,0,0
"139",138,1,0,1,0,0,0,0,0,0,0.75,0.25,0,0,0,0,0,0
"140",139,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"141",140,1,0,1,0,0,1,0,0,0,1,0.75,0,0,0,0,0,0
"142",141,1,0,1,0,1,1,0,0,1,0.75,0,0,0,0,0,0,0
"143",142,0.5,0,1,0,0,0,0,0,0,0.75,0.25,0,0,1,0,0,0
"144",143,0.5,0,0,0,0,0,0,0,0,0.75,0.75,0,0,0,0,1,0
"145",144,0.5,0,1,0,1,0,0,0,0,0.75,0.75,0,0,0,0,0,0
"146",145,1,0,1,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0
"147",146,0.5,0,1,0,0,0,1,0,0,1,0.75,0,0,0,0,0,0
"148",147,0.5,0,1,1,1,1,1,0,1,0.75,1,0,0,0,0,0,0
"149",148,1,0,1,0,0,0,0,0,1,0.75,0.25,0,0,0,0,0,0
"150",149,0.5,0,0,0,0,0,0.00125427956192496,0,0,0.75,0,0,0,0,0,0,0
"151",150,0.5,0,0,0,0,0,0,0,0,0.75,0.25,0,0,0,0,1,0
"152",151,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0
"153",152,0.5,0,0,0,1,1,0,0,0,0.75,0.75,0,0,0,0,0,0
"154",153,0.5,0,1,0,0,0,0.0160868124614322,0,0,1,0.75,0,0,0,0,0,0
"155",154,0,0,1,0,0,0,1,0,0,0.25,0,0,0,0,0,0,0
"156",155,0.5,0,1,0,1,0,0,0,0,1,0.75,0,0,0,0,0,0
"157",156,1,0,1,0,0,0,0,0,0,0.75,0.25,0,1,0,0,0,0
"158",157,0.5,0,1,0,0,0,0,0,0,0.75,0.25,0,0,0,0,0,0
"159",158,1,0,1,0,0,0,0,0,1,0.75,0.25,0,0,0,0,0,0
"160",159,0.5,0,1,0,1,1,0,0,1,0.75,0.75,0,0,0,0,0,0
"161",160,1,0,1,0,1,0,1,0,0,0.75,0.75,0,0,0,0,0,0
"162",161,0.5,0,1,0,1,0,0,0,0,0.75,0,0,0,0,0,0,0
"163",162,0.5,1,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0
"164",163,0.5,0,1,0,0,0,0,1,0,0.75,0.25,0,0,0,0,0,0
"165",164,0.5,0,1,0,0,0,0,0,0,0.75,0.25,0,0,0,0,0,0
"166",165,0.5,0,1,1,1,1,1,0,0,1,0.25,0,0,0,0,0,0
"167",166,0.5,0,1,0,0,0,1,0,1,0.25,0.25,0,0,0,0,0,0
"168",167,0.5,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
"169",168,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"170",169,0.5,0,1,0,0,0,0.00918721298301009,0,0,0.75,0.75,0,0,0,0,0,0
"171",170,0,0,1,0,0,0,0,0,0,0.75,0.75,0,0,0,0,0,0
"172",171,0.5,0,1,0,0,0,0,0,1,0.75,0.25,0,0,0,0,0,0
"173",172,1,0,1,0,0,0,1,0,0,1,0.75,0,0,0,0,0,0
"174",173,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"175",174,0.5,0,0,0,0,0,1,0,0,0.75,0,0,0,0,0,0,0
"176",175,0.5,0,1,0,1,1,0,0.00429505332894742,0.00221529235299891,0.5,0,0,0,0,0,0,0
"177",176,0.5,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0
"178",177,1,0,1,0,0,0,0,0,0,1,0.75,0,0,0,0,0,0
"179",178,0,0,1,0,0,0,0,0,0,1,0.75,0,0,0,0,0,0
"180",179,1,0,1,0,0,0,0,0,0,0.75,0.25,0,0,0,0,0,0
"181",180,0,0,0,0,0,0,0.0032681407545957,0,0,0.25,0,0,0,0,0,0,0
"182",181,0.5,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1
"183",182,0.5,0,0,0,0,0,0,0,0,0.75,0.25,0,0,0,0,0,0
"184",183,0,0,0,0,1,1,0,0.00540342039411381,0.00101520196007855,0.25,0,0,0,0,0,0,0
"185",184,0.5,0,0,0,0,0,0.010227783024029,0,0,0.75,0,0,0,0,0,0,0
"186",185,0.5,0,0,0,0,0,0,0,0,1,0.75,0,0,0,0,0,0
"187",186,0.5,0,1,0,0,0,0,0,0,0.75,0.25,0,0,0,0,0,0
"188",187,0.5,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0
"189",188,0.5,0,1,0,1,1,0,0,0,0.75,0.75,0,0,0,0,0,0
"190",189,0.5,0,1,0,1,1,1,0,0,0.75,1,0,0,0,0,0,0
"191",190,1,0,1,0,0,0,0,0,0,1,0.25,0,0,0,0,0,0
"192",191,1,0,1,0,1,1,0,0,0,0.75,0.25,0,0,0,0,0,0
"193",192,0.5,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0
"194",193,0.5,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
"195",194,0.5,0,1,0,0,0,0,0,0,0.75,0.25,0,0,0,0,0,0
"196",195,1,1,1,0,1,1,1,0,0,0.75,0.75,0,0,0,0,0,0
"197",196,0.5,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0
"198",197,0.5,0,0,0,1,0,0,0,0,0.75,0.25,0,0,0,0,0,0
"199",198,1,0,0.0590997778347037,0,1,1,1,1,0,0,0,0,0,0,0,0,0
"200",199,1,0,1,0,0,0,1,0,0,0.75,0,0,0,0,0,0,0
"201",200,1,0,1,0,0,0,1,0,0,0.75,0.25,0,0,0,0,0,0
"202",201,0.5,0,1,0,0,0,0,0,0,0.75,0.75,0,0,0,0,1,0
"203",202,0.5,0,1,0,0,0,0,0,0,1,0.25,0,0,0,0,0,0
"204",203,0.5,0,0,0,0,1,0,0.000839588174295214,0.00139128688437222,0.0735769913751342,0.0431753613142744,0,0,0,0,0,0
"205",204,1,0,1,0,0,0,0,0,0,0.75,0.75,1,0,0,0,0,0
"206",205,0.5,0,1,0,0,0,0,0.00394448880088917,0.000106921134964953,1,0.25,0,0,0,0,0,0
"207",206,1,0,1,0,0,0,0,0,0,0.75,0.25,0,0,0,0,0,0
"208",207,0.5,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
"209",208,0.5,0,1,0,0,0,1,0,0,0.75,0.25,0,0,0,0,0,0
"210",209,1,0,0,0,0,0,0,1,0,1,0.75,1,0,0,0,0,0
"211",210,0.5,0,1,0,0,0,0,0,0,1,0.75,0,0,0,0,0,0
"212",211,0.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"213",212,0.5,0,0,0,0,0,1,0,1,1,0.75,1,0,0,0,0,1
"214",213,1,0,0,0,0,0,0,0,1,0.75,0.75,0,0,0,0,0,0
"215",214,1,0,1,0,1,0,0,0,0,0.75,0.75,0,0,0,0,0,0
"216",215,0.5,0,1,0,0,0,1,0,0,1,0.75,0,0,0,0,0,0
"217",216,0.5,0,1,0,1,0,0,0,0,1,0.25,0,0,0,0,0,0
"218",217,0.5,0,1,0,0,0,0,0,0,0.111855186862086,0,0,0,0,0,0,0
"219",218,0.5,0,1,0,1,0,1,0,0,1,0.75,0,0,0,0,0,0
"220",219,0.5,0,0,0,0,0,0,0,0,1,0.75,0,0,0,0,0,0
"221",220,0.5,0,0,0,0,0,1,0,0,1,0.75,0,0,0,0,0,1
"222",221,0.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"223",222,0.5,0,1,0,0,1,1,0,1,0.25,0.25,0,0,0,0,0,0
"224",223,0,0,0,0,0,0,0,0,0,1,0.25,0,0,0,0,0,0
"225",224,0.5,0,1,0,1,0,0,0,0,1,0.75,0,0,0,0,0,0
"226",225,0.5,0,0,0,0,0,1,0,0,0.75,0,0,0,0,0,0,0
"227",226,0.5,0,1,0,0,0,0,0,0,0.75,0.25,0,0,0,0,1,0
"228",227,0.5,0,1,0,0,0,0,0,0,1,0.25,0,0,0,0,0,0
"229",228,0.5,0,1,0,1,0,1,1,0,1,0.25,0,0,0,0,0,0
"230",229,0.5,0,1,0,0,0,1,0,0,1,0.75,0,0,0,0,0,0
"231",230,0.5,0,1,0,1,1,1,0,0,1,0.25,0,0,0,0,0,0
"232",231,0.5,0,1,0,0,0,1,0,0,1,0.75,0,0,0,0,0,0
"233",232,0.5,0,1,0,1,0,0,0,0,0.25,0,0,0,0,0,0,0
"234",233,0.5,0,1,0,0,0,0,0,0,0.75,0.25,0,1,0,0,0,0
"235",234,1,0,1,0,0,0,0.00120254050192474,0,1,0.75,0.25,0,0,0,0,0,0
"236",235,1,0,1,0,0,0,0,0,0,1,0.75,0,0,0,0,0,0
"237",236,1,0,1,1,0,0,0,0,0,0.75,0.25,0,0,0,0,0,0
"238",237,0.5,0,1,0,1,1,0.000109322008983472,0,0,0.75,0,0,0,0,0,0,0
"239",238,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
"240",239,0.5,0,1,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0
"241",240,0.5,0,1,0,0,0,1,0,0,0.75,0,0,0,0,0,0,0
"242",241,0.5,0,1,0,0,0,1,0,0,1,0.75,0,0,0,0,0,0
"243",242,0.5,0,0,0,0,0,0,0,0,0.75,0.25,0,0,0,0,0,0
"244",243,0.5,0,1,0,0,0,1,0,0,0.25,0,0,0,0,0,0,0
"245",244,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
"246",245,0.5,0,1,0,1,0,0,0,0,0.75,0.25,0,0,0,0,0,0
"247",246,1,0,1,0,0,1,0,0,0,0.75,0.25,0,0,0,0,1,0
"248",247,1,0,1,0,0,0,0,0,0,1,0.25,0,0,0,0,0,0
"249",248,0.5,0,0,0,0,0,0,0,0,1,0.75,0,0,0,0,0,0
"250",249,0,0,1,0,0,1,0,0,0,0.75,0.25,0,0,0,0,0,0
"251",250,1,0,1,0,0,0,0,0,0,1,0.75,0,0,0,0,0,0
"252",251,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"253",252,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"254",253,1,0,0,0,1,0,0,0,0,0.25,0.75,0,0,0,0,0,0
"255",254,1,0,1,0,0,0,1,0,0,0.75,1,0,0,0,0,0,0
"256",255,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0
"257",256,0,0,1,0,1,1,0,0,0,0.75,0.25,0,0,0,0,0,0
"258",257,1,1,1,0,0,0,1,1,0,1,0.75,0,0,0,0,0,0
"259",258,0.5,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0
"260",259,0.5,0,1,0,1,1,1,0,0,0.25,0.75,0,0,0,0,0,0
"261",260,1,0,1,0,1,1,0,0,0,0.75,0.25,0,0,0,0,0,0
"262",261,0,0,1,0,1,1,0,0,0,1,0.75,0,0,0,0,0,0
"263",262,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0
"264",263,0.5,0,1,0,0,0,0,0,0,1,0.75,0,0,0,0,0,0
"265",264,1,0,1,0,1,1,0,1,0,0.75,0,0,0,0,0,0,1
"266",265,0.5,0,1,0,0,0,0,1,0,1,0.75,0,0,0,0,0,0
"267",266,0.5,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0
"268",267,0.5,0,1,0,0,0,0,0,0,1,0.25,0,1,0,0,0,0
"269",268,0.5,0,1,0,0,0,0,0,0,1,0.75,0,0,0,0,1,0
"270",269,0.5,0,0,0,1,1,0,0.00418288966597234,0.00287353883194302,0.112374585835181,0.0389825787427277,0,0,0,0,0,0
"271",270,0.5,0,1,0,0,0,0,0,0,0.75,0.25,0,0,0,0,0,0
"272",271,1,0,1,0,1,0,0,0,0,1,0.75,0,0,0,0,0,0
"273",272,0.5,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0
"274",273,0.5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"275",274,0.5,0,0,0,1,0,0,0,0,0.75,0.25,0,0,0,0,0,0
"276",275,0.5,0,1,0,0,0,1,0,0,1,0.75,0,0,0,0,0,0
"277",276,0.5,0,1,0,1,1,1,0,0,1,0.25,0,0,0,0,0,0
"278",277,1,0,1,0,1,1,0,0,0,0.75,0.5,0,0,0,0,0,0
"279",278,0.5,0,1,0,0,0,1,0,0,1,0.75,0,0,0,0,0,0
"280",279,1,0,1,0,1,0,0,0,0,1,0.75,0,0,0,0,0,0
"281",280,0.5,0,0.0406352164339148,0,1,1,0,0,0,0.75,0,0,0,0,0,0,0
"282",281,0.5,0,1,0,0,0,1,1,0,0.75,0.75,0,0,0,0,0,0
"283",282,0.5,0,1,0,1,1,0,1,0,0.75,0.75,0,0,0,0,0,0
"284",283,0.5,0,1,0,1,1,1,0,0,0.75,1,0,0,0,0,0,0
"285",284,1,1,1,0,0,0,1,0,0,0.75,0.75,0,0,0,0,0,0
"286",285,0.5,0,0,0,0,0,0.00383978598692734,0,0,0.25,0.25,0,0,0,0,0,0
"287",286,1,0,1,0,1,0,0,0,0,1,0.25,0,0,0,0,0,0
"288",287,1,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,1
"289",288,1,0,1,0,0,0,1,0,1,0.75,0.75,0,0,0,0,0,0
"290",289,1,0,1,0,1,0,0,0,0,0.75,0.25,0,0,0,0,0,0
"291",290,1,0,1,0,0,0,0,0,0,1,0.75,0,0,0,0,0,0
"292",291,0.5,0,1,0,1,1,0,0,0,0.75,0.25,0,0,0,0,0,0
"293",292,1,0,1,0,0,0,1,0,0,0.75,0.25,0,0,0,0,0,0
"294",293,0.5,1,1,0,0,0,1,0,0,0.5,0.25,0,0,0,0,0,0
"295",294,0.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"296",295,1,0,1,0,1,1,0,0,0,1,0.25,0,0,0,0,0,0
"297",296,1,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0
"298",297,0.5,0,1,0,0,0,0,0,0,0.75,0.75,0,0,0,0,0,0
"299",298,1,0,1,0,0,0,0,0,1,0.25,0.75,0,0,0,0,0,0
"300",299,0.5,0,1,0,1,1,0,0,0,0.75,0.75,0,0,0,0,0,0
"301",300,0.5,0,1,0,1,1,1,0,0,0.75,0,0,0,0,0,0,0
"302",301,0.5,0,1,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0
"303",302,0.5,0,0,0,0,0,0,0,0,0.75,0.25,0,0,0,0,0,0
"304",303,0,0,1,0,1,1,1,0,0,1,0.75,0,0,0,0,0,0
"305",304,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0
"306",305,1,0,1,0,0,1,0,0,0,0.25,0,1,0,0,0,0,0
"307",306,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0
"308",307,1,0,1,0,0,0,0,0,0,0.75,0.75,0,0,0,1,0,0
"309",308,1,0,1,1,0,0,1,0,0,0.75,0.75,0,0,0,0,0,0
"310",309,0.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"311",310,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
